LINESTRING (-70.513227 -17.969199, -70.42374 -17.889834)
LINESTRING (-70.42374 -17.889834, -70.313021 -17.945635)
LINESTRING (-70.313021 -17.945635, -70.280139 -17.980406)
LINESTRING (-70.280139 -17.980406, -70.235 -17.99231)
LINESTRING (-70.42374 -17.889834, -70.513227 -17.969199)
LINESTRING (-70.513227 -17.969199, -70.546086 -18.021102)
LINESTRING (-70.546086 -18.021102, -70.622456 -18.094871)
LINESTRING (-70.622456 -18.094871, -70.604648 -18.201109)
LINESTRING (-70.604648 -18.201109, -70.678574 -18.161848)
LINESTRING (-70.678574 -18.161848, -70.759457 -18.080418)
LINESTRING (-70.759457 -18.080418, -70.813156 -18.040488)
LINESTRING (-70.813156 -18.040488, -70.879189 -18.014754)
LINESTRING (-70.879189 -18.014754, -70.889473 -17.976516)
LINESTRING (-70.889473 -17.976516, -70.86334 -17.9668)
LINESTRING (-70.86334 -17.9668, -70.839295 -17.911518)
LINESTRING (-70.839295 -17.911518, -70.810014 -17.891664)
LINESTRING (-70.810014 -17.891664, -70.760062 -17.818234)
LINESTRING (-70.760062 -17.818234, -70.716439 -17.778096)
LINESTRING (-70.716439 -17.778096, -70.593465 -17.804084)
LINESTRING (-70.593465 -17.804084, -70.42374 -17.889834)
LINESTRING (-70.184225 -17.914365, -70.223522 -17.958397)
LINESTRING (-70.223522 -17.958397, -70.235 -17.99231)
LINESTRING (-70.235 -17.99231, -70.25492 -17.966057)
LINESTRING (-70.25492 -17.966057, -70.250217 -17.887084)
LINESTRING (-70.250217 -17.887084, -70.190234 -17.775939)
LINESTRING (-70.190234 -17.775939, -70.108998 -17.759295)
LINESTRING (-70.108998 -17.759295, -70.072268 -17.710809)
LINESTRING (-70.072268 -17.710809, -70.106137 -17.784918)
LINESTRING (-70.106137 -17.784918, -70.150566 -17.831773)
LINESTRING (-70.150566 -17.831773, -70.184225 -17.914365)
LINESTRING (-70.716439 -17.778096, -70.760062 -17.818234)
LINESTRING (-70.760062 -17.818234, -70.810014 -17.891664)
LINESTRING (-70.810014 -17.891664, -70.839295 -17.911518)
LINESTRING (-70.839295 -17.911518, -70.86334 -17.9668)
LINESTRING (-70.86334 -17.9668, -70.889473 -17.976516)
LINESTRING (-70.889473 -17.976516, -70.943506 -17.913603)
LINESTRING (-70.943506 -17.913603, -71.011006 -17.876748)
LINESTRING (-71.011006 -17.876748, -71.096844 -17.867725)
LINESTRING (-71.096844 -17.867725, -71.139443 -17.821482)
LINESTRING (-71.139443 -17.821482, -71.084122 -17.721276)
LINESTRING (-71.084122 -17.721276, -71.016633 -17.708769)
LINESTRING (-71.016633 -17.708769, -70.992996 -17.679119)
LINESTRING (-70.992996 -17.679119, -70.9125 -17.68737)
LINESTRING (-70.9125 -17.68737, -70.907815 -17.64722)
LINESTRING (-70.907815 -17.64722, -70.860973 -17.691391)
LINESTRING (-70.860973 -17.691391, -70.810402 -17.717699)
LINESTRING (-70.810402 -17.717699, -70.788519 -17.762764)
LINESTRING (-70.788519 -17.762764, -70.716439 -17.778096)
LINESTRING (-71.32122 -17.62247, -71.237355 -17.672805)
LINESTRING (-71.237355 -17.672805, -71.172921 -17.665154)
LINESTRING (-71.172921 -17.665154, -71.084122 -17.721276)
LINESTRING (-71.084122 -17.721276, -71.139443 -17.821482)
LINESTRING (-71.139443 -17.821482, -71.205648 -17.768648)
LINESTRING (-71.205648 -17.768648, -71.372219 -17.681713)
LINESTRING (-71.372219 -17.681713, -71.34282 -17.62133)
LINESTRING (-71.34282 -17.62133, -71.32122 -17.62247)
LINESTRING (-70.193303 -17.775637, -70.190234 -17.775939)
LINESTRING (-70.190234 -17.775939, -70.250217 -17.887084)
LINESTRING (-70.250217 -17.887084, -70.25492 -17.966057)
LINESTRING (-70.25492 -17.966057, -70.235 -17.99231)
LINESTRING (-70.235 -17.99231, -70.280139 -17.980406)
LINESTRING (-70.280139 -17.980406, -70.313021 -17.945635)
LINESTRING (-70.313021 -17.945635, -70.42374 -17.889834)
LINESTRING (-70.42374 -17.889834, -70.37289 -17.82543)
LINESTRING (-70.37289 -17.82543, -70.30537 -17.77724)
LINESTRING (-70.30537 -17.77724, -70.2237 -17.73754)
